line,lng,lat,type,id
35路,103.976832,30.688767,depot,0
43路,104.063147,30.656359,depot,1
15路,104.075781,30.695378,depot,2
112路,104.168465,30.711826,depot,3
58路,103.961616,30.664789,depot,4
71路,104.103433,30.705074,depot,5
22路,103.907009,30.724749,depot,6
13路,103.957244,30.723733,depot,7
8路,103.976181,30.634861,depot,8
6路,104.000352,30.620104,depot,9
56路,104.040165,30.707222,depot,10
83路,103.995003,30.620897,depot,11
335路,103.965469,30.630825,depot,12
42路,104.095139,30.69559,depot,13
124路,104.034996,30.586523,depot,14
119路,103.972908,30.76897,depot,15
10路,104.051509,30.633127,depot,16
30路,103.980612,30.72072,depot,17
79路,104.120868,30.604666,depot,18
80路,104.144283,30.627977,depot,19
4路,104.144298,30.628688,terminal,20
4路,104.013138,30.704601,terminal,21
5路,104.163372,30.665273,terminal,22
5路,104.011669,30.673279,terminal,23
6路,104.127622,30.685443,terminal,24
6路,104.000352,30.620104,terminal,25
3路,104.04023,30.70714,terminal,26
3路,104.103633,30.595039,terminal,27
1路,104.103641,30.704787,terminal,28
1路,104.02937,30.618952,terminal,29
7路,104.060373,30.672826,terminal,30
7路,104.140178,30.683681,terminal,31
9路,104.112886,30.764957,terminal,32
9路,104.075742,30.69467,terminal,33
10路,103.93895,30.610355,terminal,34
10路,104.051509,30.633127,terminal,35
8路,104.135686,30.673633,terminal,36
8路,103.976181,30.634861,terminal,37
11路,104.040996,30.652392,terminal,38
11路,104.074679,30.572387,terminal,39
12路,104.166875,30.627075,terminal,40
12路,104.073381,30.636758,terminal,41
13路,104.063134,30.656359,terminal,42
13路,103.957244,30.723733,terminal,43
14路,104.091011,30.671749,terminal,44
14路,104.188607,30.701589,terminal,45
15路,104.075781,30.695378,terminal,46
15路,104.052422,30.759175,terminal,47
17路,104.069129,30.694723,terminal,48
17路,103.952161,30.755304,terminal,49
18路,104.088125,30.598889,terminal,50
18路,104.114987,30.723455,terminal,51
16路,104.068403,30.604614,terminal,52
16路,104.083433,30.717448,terminal,53
19路,104.066484,30.641871,terminal,54
19路,104.069514,30.60378,terminal,55
21路,104.091936,30.646398,terminal,56
21路,103.991619,30.662891,terminal,57
22路,103.961198,30.664585,terminal,58
22路,103.907009,30.724749,terminal,59
24路,104.051491,30.759016,terminal,60
24路,104.075877,30.694812,terminal,61
23路,104.167969,30.564262,terminal,62
23路,104.111664,30.640289,terminal,63
20路,104.168457,30.711832,terminal,64
20路,104.081892,30.657244,terminal,65
25路,104.103602,30.704839,terminal,66
25路,104.01309,30.704674,terminal,67
26路,104.034197,30.550278,terminal,68
26路,104.066107,30.653798,terminal,69
28路,104.034765,30.586569,terminal,70
28路,104.073368,30.693446,terminal,71
27路,104.070868,30.694488,terminal,72
27路,104.073364,30.693299,terminal,73
29路,104.013477,30.703264,terminal,74
29路,103.92952,30.695715,terminal,75
30路,103.980612,30.72072,terminal,76
30路,104.063147,30.656359,terminal,77
30A路,103.956992,30.72553,terminal,78
30A路,104.063151,30.656359,terminal,79
35路,103.976832,30.688767,terminal,80
35路,104.074478,30.642738,terminal,81
34路,104.070595,30.694492,terminal,82
34路,104.073368,30.693438,terminal,83
32路,103.976298,30.68786,terminal,84
32路,104.113884,30.715078,terminal,85
36路,104.071324,30.694479,terminal,86
36路,104.008351,30.734006,terminal,87
37路,104.082127,30.657613,terminal,88
37路,103.961186,30.664192,terminal,89
40路,104.034193,30.550404,terminal,90
40路,104.144421,30.628536,terminal,91
41路,103.992455,30.619692,terminal,92
41路,104.028908,30.638216,terminal,93
42路,104.095139,30.69559,terminal,94
42路,104.006073,30.644361,terminal,95
43路,104.008963,30.73576,terminal,96
43路,104.063147,30.656359,terminal,97
44路,104.023041,30.686867,terminal,98
44路,103.907005,30.724748,terminal,99
45路,104.10997,30.663607,terminal,100
45路,104.00589,30.636496,terminal,101
46路,104.012122,30.672144,terminal,102
46路,104.08253,30.794601,terminal,103
51路,104.048571,30.667952,terminal,104
51路,104.124683,30.60503,terminal,105
48路,104.092031,30.646359,terminal,106
48路,104.008278,30.734066,terminal,107
47路,104.143048,30.627504,terminal,108
47路,103.961161,30.664546,terminal,109
49路,104.103655,30.70477,terminal,110
49路,104.069514,30.603785,terminal,111
53路,103.965473,30.630825,terminal,112
53路,104.103147,30.705734,terminal,113
54路,104.070877,30.694488,terminal,114
54路,103.979141,30.683867,terminal,115
55路,104.036788,30.586975,terminal,116
55路,104.083411,30.717461,terminal,117
57路,103.980464,30.599818,terminal,118
57路,104.081936,30.694384,terminal,119
58路,104.128507,30.636528,terminal,120
58路,103.961616,30.664789,terminal,121
56路,104.040165,30.707222,terminal,122
56路,104.158746,30.580178,terminal,123
59路,104.041076,30.653639,terminal,124
59路,104.083407,30.717461,terminal,125
60路,104.174255,30.769476,terminal,126
60路,104.163698,30.664527,terminal,127
61路,104.034774,30.586571,terminal,128
61路,104.118668,30.658194,terminal,129
62路,104.008247,30.733963,terminal,130
62路,104.080256,30.616567,terminal,131
64路,103.985408,30.689831,terminal,132
64路,104.120043,30.708056,terminal,133
65路,104.07079,30.694488,terminal,134
65路,104.104844,30.595161,terminal,135
68路,104.104019,30.539761,terminal,136
68路,104.09526,30.625017,terminal,137
70路,104.001385,30.638785,terminal,138
70路,104.102023,30.710859,terminal,139
73路,104.061821,30.730295,terminal,140
73路,104.074466,30.662773,terminal,141
71路,104.103433,30.705074,terminal,142
71路,104.14422,30.628462,terminal,143
74路,104.106202,30.660707,terminal,144
74路,104.059978,30.569848,terminal,145
75路,104.04023,30.70714,terminal,146
75路,104.125653,30.671014,terminal,147
76路,104.065336,30.604952,terminal,148
76路,104.110087,30.688433,terminal,149
77路,104.05888,30.64651,terminal,150
77路,104.128676,30.598624,terminal,151
79路,104.050608,30.624805,terminal,152
79路,104.120868,30.604666,terminal,153
78路,103.964508,30.688242,terminal,154
78路,104.062105,30.642769,terminal,155
80路,104.084905,30.720326,terminal,156
80路,104.144283,30.627977,terminal,157
82路,104.095747,30.624792,terminal,158
82路,104.013095,30.704666,terminal,159
83路,103.995003,30.620897,terminal,160
83路,104.037838,30.707002,terminal,161
84路,104.063247,30.571966,terminal,162
84路,104.01165,30.673565,terminal,163
86路,104.071202,30.694479,terminal,164
86路,104.168144,30.712166,terminal,165
85路,104.14309,30.627439,terminal,166
85路,104.083563,30.717383,terminal,167
87路,104.103572,30.704885,terminal,168
87路,104.188599,30.701508,terminal,169
89路,103.965425,30.630807,terminal,170
89路,104.009449,30.736207,terminal,171
91路,104.008298,30.571249,terminal,172
91路,104.096649,30.624123,terminal,173
92路,104.128307,30.636506,terminal,174
92路,104.030074,30.635095,terminal,175
95路,104.069223,30.694722,terminal,176
95路,104.015069,30.767522,terminal,177
