0,"(103.9024474, 30.784256500000005)"
1,"(103.90487730000001, 30.787436999999994)"
2,"(103.902398, 30.784332400000007)"
3,"(103.9064963, 30.7810964)"
4,"(103.904911, 30.787484799999994)"
5,"(103.9091719, 30.784110899999998)"
6,"(103.9048, 30.7874795)"
7,"(103.8977129, 30.786532)"
8,"(103.9072333, 30.790559499999993)"
9,"(103.9048362, 30.787526899999992)"
10,"(103.9092038, 30.784137999999995)"
11,"(103.9073375, 30.790667800000005)"
12,"(103.9120122, 30.787507200000004)"
13,"(103.9071661, 30.790594799999997)"
14,"(103.9004168, 30.7900128)"
15,"(103.9106479, 30.795025200000005)"
16,"(103.9072547, 30.790711399999996)"
17,"(103.9121224, 30.787639399999993)"
18,"(103.9121068, 30.78742729999999)"
19,"(103.8983995, 30.79524869999999)"
20,"(103.8979825, 30.794696699999996)"
21,"(103.8947647, 30.795599399999993)"
22,"(103.8981052, 30.792897599999996)"
23,"(103.8984876, 30.79536689999999)"
24,"(103.9019263, 30.79338)"
25,"(103.8956677, 30.796796699999987)"
26,"(103.8936325, 30.795460399999996)"
27,"(103.8821813, 30.823385199999993)"
28,"(103.88227580000002, 30.82330899999999)"
29,"(103.8798585, 30.8206208)"
30,"(103.8790875, 30.826133400000003)"
31,"(103.8822695, 30.8234786)"
32,"(103.8823571, 30.823405599999994)"
33,"(103.8853648, 30.82062749999999)"
34,"(103.8797689, 30.8203764)"
35,"(103.8797009, 30.8204218)"
36,"(103.8754019, 30.823863299999992)"
37,"(103.8792322, 30.8262223)"
38,"(103.8737853, 30.830812399999985)"
39,"(103.876629, 30.828516000000008)"
40,"(103.8738374, 30.8228859)"
41,"(103.8723349, 30.828623300000004)"
42,"(103.8718859, 30.832464199999997)"
43,"(103.8702028, 30.82541999999999)"
44,"(103.8701347, 30.829790199999994)"
45,"(103.85843530000001, 30.8375205)"
46,"(103.8584606, 30.837654300000008)"
47,"(103.8692224, 30.8334961)"
48,"(103.8583198, 30.837596099999992)"
49,"(103.85630870000001, 30.833112400000005)"
50,"(103.8583423, 30.837711899999984)"
51,"(103.8595259, 30.843280000000007)"
52,"(103.8694106, 30.8336144)"
53,"(103.8693287, 30.8334713)"
54,"(103.8676693, 30.831087099999994)"
55,"(103.8270011, 30.853838400000004)"
56,"(103.82834, 30.8531135)"
57,"(103.8262099, 30.852734300000005)"
58,"(103.8270325, 30.853882899999995)"
59,"(103.82499, 30.85490500000001)"
60,"(103.8283777, 30.8531664)"
61,"(103.8358791, 30.84920599999999)"
62,"(103.8247991, 30.8507655)"
63,"(103.8242533, 30.853868400000003)"
64,"(103.82502270000002, 30.854951899999993)"
65,"(103.81787610000002, 30.858796599999998)"
66,"(103.8178255, 30.85873299999999)"
67,"(103.8214103, 30.8568009)"
68,"(103.8204914, 30.855514)"
69,"(103.81343840000001, 30.861091999999992)"
70,"(103.813484, 30.8611411)"
71,"(103.8193146, 30.860763499999997)"
72,"(103.8214586, 30.856868399999993)"
73,"(103.8229496, 30.855986)"
74,"(103.8218923, 30.854602200000002)"
75,"(103.8195644, 30.85444229999999)"
76,"(103.8132395, 30.86119679999998)"
77,"(103.8135568, 30.8612408)"
78,"(103.8083227, 30.86428419999999)"
79,"(103.8081062, 30.864153900000012)"
80,"(103.8082166, 30.8642272)"
81,"(103.8099172, 30.863014200000006)"
82,"(103.8041794, 30.86714379999999)"
83,"(103.8064239, 30.863036699999995)"
84,"(103.8050616, 30.866347700000002)"
85,"(103.8067062, 30.865444099999994)"
86,"(103.8083967, 30.864343900000005)"
87,"(103.7995719, 30.870310500000002)"
88,"(103.7996818, 30.87041869999999)"
89,"(103.79974880000002, 30.870477399999995)"
90,"(103.8014783, 30.869116500000008)"
91,"(103.7981886, 30.871526999999997)"
92,"(103.7997168, 30.8705033)"
93,"(103.8010133, 30.869228000000003)"
94,"(103.7985032, 30.869217800000005)"
95,"(103.7982869, 30.871247399999998)"
96,"(103.79983600000001, 30.8705742)"
97,"(103.8006395, 30.869805100000004)"
98,"(103.8015265, 30.869084099999995)"
99,"(103.801365, 30.86896329999999)"
100,"(103.8015243, 30.8691819)"
101,"(103.7785016, 30.8841584)"
102,"(103.7793167, 30.88350120000001)"
103,"(103.7754898, 30.881244500000005)"
104,"(103.776089, 30.88614280000001)"
105,"(103.7821629, 30.881204299999997)"
106,"(103.779394, 30.883568799999995)"
107,"(103.7798163, 30.878287699999994)"
108,"(103.7709768, 30.875400899999992)"
109,"(103.7731083, 30.883005)"
110,"(103.77160970000001, 30.88990799999999)"
111,"(103.7677166, 30.891484400000007)"
112,"(103.7692234, 30.8926628)"
113,"(103.7666756, 30.888632299999998)"
114,"(103.7672645, 30.8948848)"
115,"(103.757284, 30.90374449999999)"
116,"(103.7657199, 30.896737799999986)"
117,"(103.76331, 30.908842899999993)"
118,"(103.7510687, 30.898246000000004)"
119,"(103.7667371, 30.901107399999997)"
120,"(103.7641698, 30.90974760000001)"
121,"(103.7835124, 30.908020100000005)"
122,"(103.7594107, 30.893443)"
123,"(103.7452225, 30.901423900000008)"
124,"(103.7497497, 30.896766499999995)"
125,"(104.0397117, 30.78481869999999)"
126,"(103.9903293, 30.782959800000004)"
127,"(103.97516, 30.781083600000002)"
128,"(103.9856265, 30.7825506)"
129,"(103.9785192, 30.827604)"
130,"(103.9784009, 30.828625)"
131,"(103.9792808, 30.83088979999999)"
132,"(103.9859963, 30.820197299999993)"
133,"(103.9785452, 30.827501)"
134,"(103.974789, 30.826887800000012)"
135,"(103.9888838, 30.81925089999999)"
