,id,w
0,6784800960,4.0
1,288416442,3.0
2,9069147600,3.0
3,4955348347,2.25
4,288416443,4.0
5,8193711357,7.0
6,9069147601,4.0
7,1452354596,5.0
8,288416444,7.0
9,9069147599,4.0
10,2879407830,7.0
11,1452379098,7.0
12,5832570079,10.0
13,9069147602,7.0
14,6784806586,4.0
15,5573421437,7.0
16,9069147598,7.0
17,1452367507,10.0
18,1108422768,10.0
19,1452381150,9.5
20,288416451,6.0
21,1452381159,6.0
22,1108422826,5.5
23,1452381151,9.5
24,9100117632,8.25
25,1452381153,9.5
26,1452354612,5.5
27,9100117641,10.0
28,288416469,10.0
29,3597705277,8.0
30,288416470,4.5
31,2690137880,6.35
32,9100117642,6.25
33,7823205757,3.5
34,9100117640,8.5
35,8193711352,8.0
36,3597705276,2.5
37,3597703012,3.5
38,288416472,3.5
39,2690137883,3.5
40,3597703008,7.0
41,4955283750,2.5
42,4955283751,3.0
43,4955283745,7.0
44,4955283752,2.0
45,1450543212,7.5
46,288416494,7.5
47,1895404416,10.0
48,1450544173,7.5
49,9100117657,5.1
50,9776946573,7.5
51,1830092535,5.1
52,3650783953,11.0
53,4550854664,10.0
54,4955283748,8.5
55,7769513845,3.5
56,288416501,2.7
57,5453861861,0.30000000000000004
58,9776946575,2.6
59,5453861857,2.7
60,9776946568,4.5
61,5248768898,4.5
62,5453861868,0.30000000000000004
63,5453861858,0.30000000000000004
64,9776946574,2.6
65,7214524622,4.5
66,288416503,3.6
67,4871286879,4.5
68,5453861850,2.2
69,288416506,3.5
70,7214630786,4.5
71,5453853354,4.0
72,7214631194,4.5
73,5453861848,2.6
74,5453861849,0.30000000000000004
75,5453861844,2.1
76,9776946597,3.5
77,9776946580,3.0
78,7214524618,2.7
79,9776946598,4.0
80,288416507,3.6
81,9776946591,4.5
82,2572147270,4.5
83,4871251420,2.5
84,8974420728,2.5
85,9776946588,3.0
86,9776946581,2.2
87,4871251797,3.0
88,288416508,5.0
89,7214631179,4.5
90,7214524627,4.5
91,9776949839,3.0
92,9176043105,4.5
93,4871251792,2.1
94,2572147279,1.5
95,4871251799,2.5
96,4871251735,4.0
97,7214631178,3.0
